iter	Passed	Remaining
204	276	1070
205	276	1066
206	277	1062
207	277	1058
208	278	1054
209	279	1050
210	279	1046
211	280	1041
212	280	1037
213	281	1034
214	282	1029
215	282	1025
216	283	1021
217	283	1017
218	284	1013
219	284	1010
220	285	1006
221	285	1002
222	286	998
223	287	995
224	287	991
225	288	988
226	289	984
227	289	980
228	290	976
229	290	973
230	291	969
231	291	966
232	292	962
233	292	958
234	293	954
235	293	951
236	294	948
237	295	944
238	295	941
239	296	937
240	296	933
241	297	930
242	297	927
243	298	924
244	298	920
245	299	917
246	299	913
247	300	910
248	300	907
249	301	904
250	302	901
251	302	898
252	303	895
253	303	891
254	304	888
255	304	885
256	305	882
257	305	879
258	306	876
259	306	873
260	307	870
261	308	867
262	308	864
263	309	861
264	309	858
265	310	855
266	310	852
267	311	849
268	311	847
269	312	844
270	312	841
271	313	838
272	313	835
273	314	832
274	314	829
275	315	827
276	315	824
277	316	821
278	317	819
279	317	816
280	318	814
281	318	812
282	319	809
283	320	807
284	320	804
285	321	801
286	321	798
287	322	796
288	322	794
289	323	791
290	323	789
291	324	786
292	324	784
293	325	781
294	326	779
295	326	776
296	326	773
297	327	771
298	327	768
299	328	766
300	328	763
301	329	761
302	329	759
303	330	756
304	331	754
305	331	752
306	332	750
307	333	748
308	333	746
309	334	744
310	335	742
311	335	739
312	336	737
313	336	735
314	337	733
315	337	731
316	338	729
317	338	726
318	339	724
319	340	722
320	340	720
321	341	718
322	341	716
323	342	713
324	342	711
325	343	709
326	343	707
327	344	705
328	344	703
329	345	701
330	345	698
331	346	696
332	346	694
333	347	693
334	348	691
335	348	689
336	349	687
337	350	685
338	350	683
339	351	681
340	351	679
341	352	677
342	352	675
343	353	673
344	353	671
345	354	669
346	354	667
347	355	665
348	355	663
349	356	661
350	356	660
351	357	658
352	358	656
353	358	654
354	359	652
355	359	650
356	360	648
357	360	647
358	361	645
359	362	643
360	362	641
361	363	640
362	363	638
363	364	636
364	365	635
365	365	633
366	366	631
367	366	630
368	367	628
369	368	626
370	368	625
371	369	623
372	369	621
373	370	619
374	370	617
375	371	616
376	371	614
377	372	612
378	373	611
379	373	609
380	374	608
381	374	606
382	375	604
383	375	603
384	376	601
385	377	600
386	377	598
387	378	597
388	379	595
389	380	594
390	380	592
391	381	591
392	382	590
393	382	588
394	383	587
395	383	585
396	384	583
397	384	582
398	385	580
399	386	579
400	386	577
401	387	576
402	388	575
403	388	573
404	389	572
405	390	570
406	390	569
407	391	567
408	391	566
409	392	564
410	393	563
411	393	561
412	394	560
413	395	559
414	395	557
415	396	556
416	396	554
417	397	553
418	398	552
419	398	550
420	399	549
421	400	547
422	400	546
423	401	545
424	402	544
425	402	542
426	403	541
427	404	540
428	404	538
429	405	537
430	406	536
431	406	534
432	407	533
433	407	531
434	408	530
435	409	529
436	409	528
437	410	526
438	411	525
439	411	523
440	412	522
441	413	521
442	413	520
443	414	518
444	414	517
445	415	516
446	416	514
447	416	513
448	417	511
449	417	510
450	418	509
451	418	507
452	419	506
453	420	505
454	420	503
455	421	502
456	421	501
457	422	499
458	422	498
459	423	497
460	424	495
461	424	494
462	425	493
463	425	492
464	426	490
465	427	489
466	427	488
467	428	486
468	428	485
469	429	484
470	429	482
471	430	481
472	430	480
473	431	478
474	431	477
475	432	476
476	432	474
477	433	473
478	434	472
479	434	470
480	435	469
481	435	468
482	436	467
483	437	466
484	437	465
485	438	463
486	439	462
487	439	461
488	440	460
489	440	458
490	441	457
491	441	456
492	442	455
493	442	453
